ManagedPoolThread #17 00:19:28 INFO  ExecuteQueryAgainstLucene (social_messages_master): +posted_date:[00010101t000000000z TO 00010101t000000000z] +(final_workflow_state:1 workflow_state:00000000000000000000000000000000) +(_template:d7851f00e8694f9381f5b5338eff58a9 _template:06751e29d91b423ca2e1e54afd4f8f0b _template:e28734ca89eb4530b0e4b81f6645a372) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master9cc91123a56b462898e5e5f639d558eben +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:masterf96a23a888fb4304b8f2cd9932bd2f9aen +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master115963ea0cc04d9182c16ed0e1afb4dcen +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:masterebf6b297b41446ec9e704073cd3ae390en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master130eb63f09cf4097874de52b78e425d6en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:masterb9ce01737fbf4684922b68e7ceb39775en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:mastereb18986f08864d3cba5bae8ea21301bben +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:masterd6fedcfd4d9b44c7910e3672ef8e0316en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:masterbcac5cac92744b26ad6aac7532f4f119en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master4254078099a04144bc9a5d673fc63b6aen +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:53 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master942e19204d064c8393b5c09186ace657en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:53 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master95527fd0818c4045802a10a27eaafabeen +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:53 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:masterdc22e33b99f64503af529a657ffd0ec0en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:53 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:masterc5e5c40c8bc747d894ede3b857d086c0en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
